tag,name,keywords,checked,selected,url
1,"W. N. Greene and N. Roy, ""Metrically-Scaled Monocular SLAM using Learned Scale Factors,"" 2020 IEEE International Conference on Robotics and Automation (ICRA), Paris, France, 2020, pp. 43-50.","keywords: {Simultaneous localization and mapping;Feature extraction;Cameras;Loss measurement;Neural networks;Estimation},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9196900&isnumber=9196508
2,"C. Campos, J. M. M. Montiel and J. D. Tardós, ""Inertial-Only Optimization for Visual-Inertial Initialization,"" 2020 IEEE International Conference on Robotics and Automation (ICRA), Paris, France, 2020, pp. 51-57.","keywords: {Estimation;Trajectory;Simultaneous localization and mapping;Gravity;Visualization;Optimization;Accelerometers},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9197334&isnumber=9196508
3,"H. Xie, W. Chen, J. Wang and H. Wang, ""Hierarchical Quadtree Feature Optical Flow Tracking Based Sparse Pose-Graph Visual-Inertial SLAM,"" 2020 IEEE International Conference on Robotics and Automation (ICRA), Paris, France, 2020, pp. 58-64.","keywords: {Optical flow;Optimization;Simultaneous localization and mapping;Robustness;Tracking;Feature extraction;Visualization},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9197278&isnumber=9196508
4,"Z. Dai et al., ""Keypoint Description by Descriptor Fusion Using Autoencoders,"" 2020 IEEE International Conference on Robotics and Automation (ICRA), Paris, France, 2020, pp. 65-71.","keywords: {Fuses;Lighting;Robustness;Computer vision;Simultaneous localization and mapping;Image coding},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9197205&isnumber=9196508
5,"A. Thyagharajan, O. J. Omer, D. Mandal and S. Subramoney, ""Towards Noise Resilient SLAM,"" 2020 IEEE International Conference on Robotics and Automation (ICRA), Paris, France, 2020, pp. 72-79.","keywords: {Cameras;Simultaneous localization and mapping;Three-dimensional displays;Measurement;Feature extraction;Optimization},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9196745&isnumber=9196508
6,"K. Ebadi et al., ""LAMP: Large-Scale Autonomous Mapping and Positioning for Exploration of Perceptually-Degraded Subterranean Environments,"" 2020 IEEE International Conference on Robotics and Automation (ICRA), Paris, France, 2020, pp. 80-86.","keywords: {Simultaneous localization and mapping;Laser radar;Three-dimensional displays;Base stations;Trajectory},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9197082&isnumber=9196508
7,"A. Harakeh, M. Smart and S. L. Waslander, ""BayesOD: A Bayesian Approach for Uncertainty Estimation in Deep Object Detectors,"" 2020 IEEE International Conference on Robotics and Automation (ICRA), Paris, France, 2020, pp. 87-93.","keywords: {Uncertainty;Detectors;Neural networks;Bayes methods;Estimation;Object detection;Measurement uncertainty},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9196544&isnumber=9196508
8,"O. Mees, A. Emek, J. Vertens and W. Burgard, ""Learning Object Placements For Relational Instructions by Hallucinating Scene Representations,"" 2020 IEEE International Conference on Robotics and Automation (ICRA), Paris, France, 2020, pp. 94-100.","keywords: {Robots;Training;Three-dimensional displays;Natural languages;Graphical models;Distribution functions;Solid modeling},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9197472&isnumber=9196508
9,"Q. Wang, S. Shi, S. Zheng, K. Zhao and X. Chu, ""FADNet: A Fast and Accurate Network for Disparity Estimation,"" 2020 IEEE International Conference on Robotics and Automation (ICRA), Paris, France, 2020, pp. 101-107.","keywords: {Estimation;Convolution;Correlation;Three-dimensional displays;Training;Feature extraction;Computer architecture},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9197031&isnumber=9196508
10,"S. Kuutti, S. Fallah and R. Bowden, ""Training Adversarial Agents to Exploit Weaknesses in Deep Control Policies,"" 2020 IEEE International Conference on Robotics and Automation (ICRA), Paris, France, 2020, pp. 108-114.","keywords: {Testing;Autonomous vehicles;Training;Learning (artificial intelligence);Machine learning;Robots;Robustness},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9197351&isnumber=9196508
11,"S. Nair, M. Babaeizadeh, C. Finn, S. Levine and V. Kumar, ""TRASS: Time Reversal as Self-Supervision,"" 2020 IEEE International Conference on Robotics and Automation (ICRA), Paris, France, 2020, pp. 115-121.","keywords: {Task analysis;Trajectory;Robots;Transmission line measurements;Visualization;Predictive models;Grippers},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9196862&isnumber=9196508
12,"M. P. Strub and J. D. Gammell, ""Advanced BIT (ABIT): Sampling-Based Planning with Advanced Graph-Search Techniques,"" 2020 IEEE International Conference on Robotics and Automation (ICRA), Paris, France, 2020, pp. 130-136.","keywords: {Planning;Approximation algorithms;Search problems;Path planning;Robots;Acceleration;Conferences},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9196580&isnumber=9196508
13,"S. Dorn, N. Wolpert and E. Schömer, ""Voxel-based General Voronoi Diagram for Complex Data with Application on Motion Planning,"" 2020 IEEE International Conference on Robotics and Automation (ICRA), Paris, France, 2020, pp. 137-143.","keywords: {Octrees;Planning;Three-dimensional displays;Approximation algorithms;Task analysis;Runtime},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9196775&isnumber=9196508
14,"L. Koutras and Z. Doulgeri, ""Dynamic Movement Primitives for moving goals with temporal scaling adaptation,"" 2020 IEEE International Conference on Robotics and Automation (ICRA), Paris, France, 2020, pp. 144-150.","keywords: {Trajectory;Robots;Dynamics;Encoding;Collaboration;Adaptation models;Kinematics},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9196765&isnumber=9196508
15,"C. Huang et al., ""Navigating Discrete Difference Equation Governed WMR by Virtual Linear Leader Guided HMPC,"" 2020 IEEE International Conference on Robotics and Automation (ICRA), Paris, France, 2020, pp. 151-157.","keywords: {Navigation;Linear systems;Stability analysis;Planning;Robots;Mathematical model;Nonlinear dynamical systems},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9197375&isnumber=9196508
