tag,name,keywords,checked,selected,url
1,"S. Sekiguchi, A. Yorozu, K. Kuno, M. Okada, Y. Watanabe and M. Takahashi, ""Uncertainty-aware Non-linear Model Predictive Control for Human-following Companion Robot,"" 2021 IEEE International Conference on Robotics and Automation (ICRA), Xi'an, China, 2021, pp. 8316-8322.","keywords: {Legged locomotion;Uncertainty;Prediction methods;Control systems;Entropy;Trajectory;Delays},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9561974&isnumber=9560666
2,"C. Yoo, J. J. Heon Lee, S. Anstee and R. Fitch, ""Path Planning in Uncertain Ocean Currents using Ensemble Forecasts,"" 2021 IEEE International Conference on Robotics and Automation (ICRA), Xi'an, China, 2021, pp. 8323-8329.","keywords: {Monte Carlo methods;Oceans;Weather forecasting;Estimation;Probabilistic logic;Forecast uncertainty;Robustness},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9561626&isnumber=9560666
3,"H. Zhou and C. Liu, ""Distributed Motion Coordination Using Convex Feasible Set Based Model Predictive Control,"" 2021 IEEE International Conference on Robotics and Automation (ICRA), Xi'an, China, 2021, pp. 8330-8336.","keywords: {Roads;System recovery;Prediction algorithms;Stability analysis;Robustness;Real-time systems;Trajectory},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9561637&isnumber=9560666
4,"J. Choi, C. Dance, J. -E. Kim, S. Hwang and K. -S. Park, ""Risk-Conditioned Distributional Soft Actor-Critic for Risk-Sensitive Navigation,"" 2021 IEEE International Conference on Robotics and Automation (ICRA), Xi'an, China, 2021, pp. 8337-8344.","keywords: {Training;Navigation;Conferences;Measurement uncertainty;Reinforcement learning;Robustness;Safety},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9560962&isnumber=9560666
5,"T. Chen, X. Rong and Y. Li, ""Optimized Method for Planning and Controlling the Somersault Motion of Quadruped Robot,"" 2021 IEEE International Conference on Robotics and Automation (ICRA), Xi'an, China, 2021, pp. 7658-7664.","keywords: {Torso;Legged locomotion;Torque;Friction;Force;Dynamics;Trajectory},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9560903&isnumber=9560666
6,"W. Zeng, J. Yan, X. Huang and S. Shin Cheng, ""Motion Coupling Analysis for the Decoupled Design of a Two-segment Notched Continuum Robot,"" 2021 IEEE International Conference on Robotics and Automation (ICRA), Xi'an, China, 2021, pp. 7665-7671.","keywords: {Couplings;Analytical models;Motion segmentation;Design methodology;Computational modeling;Phantoms;Nose},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9561764&isnumber=9560666
7,"Z. Yu, L. Zhu and G. Lu, ""VINS-Motion: Tightly-coupled Fusion of VINS and Motion Constraint,"" 2021 IEEE International Conference on Robotics and Automation (ICRA), Xi'an, China, 2021, pp. 7672-7678.","keywords: {Location awareness;Visualization;Navigation;Pose estimation;Wheels;Robustness;Trajectory},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9562103&isnumber=9560666
8,"I. Ikeda, K. Sekine, R. Tsumura and H. Iwata, ""Robot-to-image Registration with Geometric Marker for CT-guided Robotic Needle Insertion,"" 2021 IEEE International Conference on Robotics and Automation (ICRA), Xi'an, China, 2021, pp. 7130-7136.","keywords: {Automation;Shape;Robot kinematics;Computed tomography;Conferences;Needles;End effectors},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9561876&isnumber=9560666
9,"J. Jeon and C. Kim, ""Shape Sensor Using Magnetic Induction with Frequency Sweeping for Medical Catheters,"" 2021 IEEE International Conference on Robotics and Automation (ICRA), Xi'an, China, 2021, pp. 7137-7143.","keywords: {Band-pass filters;Magnetic field measurement;Voltage measurement;Shape;Magnetic sensors;Magnetic separation;Sensor phenomena and characterization},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9561072&isnumber=9560666
10,"N. Munasinghe, J. Masangkay and G. Paul, ""Temperature Compensated 3D Printed Strain Sensor for Advanced Manufacturing Applications,"" 2021 IEEE International Conference on Robotics and Automation (ICRA), Xi'an, China, 2021, pp. 7006-7012.","keywords: {Temperature sensors;Temperature measurement;Three-dimensional displays;Bending;Strain measurement;Sensors;Manufacturing;Advanced manufacturing;Additive manufacturing;3D printing;Industry 4.0;Temperature compensated strain gauge},",0,0,URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9561498&isnumber=9560666
